barcode,technical_well,seurat_cluster_raw,seurat_tree_cluster,seurat_cluster_legacy_res_1_5,provisional_annotation,nCount_RNA,nFeature_RNA,percent.mt,scanpy_cluster
46_01_22,D10,2,7,5,Excitatory_neuron,2165,1199,0.18475750577367206,3
46_01_37,D10,4,1,2,Unresolved,1251,841,0.15987210231814547,1
46_01_43,D10,1,5,1,Unresolved,1120,718,0,2
46_01_45,D10,0,6,0,Unresolved,634,479,0.47318611987381703,2
46_01_50,D10,4,1,4,Unresolved,462,358,1.7316017316017316,4
46_01_72,D10,4,1,4,Unresolved,2777,1629,0.14404033129276198,4
46_01_76,D10,2,7,5,Excitatory_neuron,1639,1021,0.12202562538133008,3
46_02_47,D10,2,7,5,Excitatory_neuron,1279,764,0.1563721657544957,3
46_02_51,D10,2,7,5,Excitatory_neuron,1486,955,0.13458950201884254,3
46_02_53,D10,6,4,8,Inhibitory_neuron,574,439,0,6
46_02_86,D10,2,7,10,Excitatory_neuron,1873,1050,0.587293112653497,3
46_02_92,D10,1,5,7,Unresolved,1030,721,0,2
46_03_07,D10,3,8,3,Unresolved,592,438,0.8445945945945946,5
46_03_22,D10,1,5,7,Unresolved,627,494,0.3189792663476874,2
46_03_28,D10,6,4,8,Inhibitory_neuron,393,315,0.5089058524173028,6
46_03_46,D10,1,5,7,Unresolved,664,495,0,2
46_03_52,D10,5,3,6,Unresolved,537,417,0.5586592178770949,7
46_03_55,D10,0,6,0,Unresolved,555,446,0.5405405405405406,1
46_04_04,D10,0,6,1,Unresolved,745,549,0.4026845637583893,1
46_04_33,D10,2,7,10,Excitatory_neuron,1950,1088,0.41025641025641024,3
46_04_44,D10,0,6,2,Unresolved,1319,910,0.37907505686125853,4
46_04_48,D10,2,7,5,Excitatory_neuron,573,429,0.6980802792321117,3
46_04_62,D10,3,8,3,Unresolved,730,562,0.821917808219178,4
46_04_70,D10,1,5,1,Unresolved,1139,796,0.2633889376646181,2
46_04_76,D10,1,5,1,Unresolved,1128,755,0.44326241134751776,2
46_04_95,D10,0,6,0,Unresolved,557,464,0.3590664272890485,1
46_05_21,D10,1,5,7,Unresolved,2271,1300,0.3522677234698371,2
46_05_43,D10,0,6,0,Unresolved,882,616,0.22675736961451248,1
46_05_48,D10,3,8,3,Unresolved,1118,744,0.35778175313059035,5
46_05_51,D10,1,5,1,Unresolved,1150,801,0.08695652173913043,1
46_05_55,D10,3,8,3,Unresolved,2475,1424,0.12121212121212122,5
46_05_67,D10,1,5,1,Unresolved,1926,1190,0.5192107995846313,2
46_05_72,D10,6,4,8,Inhibitory_neuron,1349,875,0.2965159377316531,6
46_05_93,D10,6,4,8,Inhibitory_neuron,495,395,0.6060606060606061,6
46_06_15,D10,0,6,1,Unresolved,726,501,1.9283746556473829,1
46_06_21,D10,1,5,1,Unresolved,1767,1030,0.2829654782116582,2
46_06_42,D10,5,3,6,Unresolved,1884,1130,0.10615711252653928,7
46_06_58,D10,4,1,4,Unresolved,420,326,2.619047619047619,4
46_07_05,D10,0,6,2,Unresolved,994,676,2.112676056338028,1
46_07_20,D10,4,1,4,Unresolved,580,451,0.8620689655172413,4
46_07_32,D10,0,6,2,Unresolved,1756,1077,0.3986332574031891,1
46_07_47,D10,0,6,0,Unresolved,998,725,0.6012024048096193,1
46_08_16,D10,4,1,4,Unresolved,2878,1626,0.20847810979847115,4
46_08_32,D10,1,5,7,Unresolved,1090,742,0.27522935779816515,2
46_08_37,D10,1,5,7,Unresolved,1381,903,0.7965242577842143,2
46_08_45,D10,2,7,5,Excitatory_neuron,2285,1321,0.437636761487965,3
46_08_51,D10,4,1,4,Unresolved,2220,1338,0.09009009009009009,4
46_08_60,D10,2,7,5,Excitatory_neuron,2798,1454,0.25017869907076484,3
46_08_63,D10,2,7,10,Excitatory_neuron,998,642,0.30060120240480964,3
46_08_71,D10,0,6,0,Unresolved,522,400,0,1
46_08_96,D10,7,2,9,Inhibitory_neuron,660,515,0.15151515151515152,8
46_09_07,D10,7,2,9,Inhibitory_neuron,603,469,2.155887230514096,8
46_09_12,D10,3,8,3,Unresolved,571,405,2.626970227670753,5
46_09_14,D10,1,5,2,Unresolved,2338,1399,0.5988023952095809,2
46_09_31,D10,6,4,8,Inhibitory_neuron,475,377,2.1052631578947367,6
46_09_39,D10,5,3,6,Unresolved,1073,762,0.09319664492078285,7
46_09_50,D10,0,6,0,Unresolved,548,441,0.36496350364963503,1
46_09_68,D10,0,6,0,Unresolved,640,496,0.46875,1
46_09_70,D10,3,8,3,Unresolved,1005,670,0,5
46_09_72,D10,6,4,8,Inhibitory_neuron,551,419,0.5444646098003629,6
46_09_73,D10,0,6,2,Unresolved,1105,765,0,1
46_09_74,D10,4,1,4,Unresolved,421,348,2.137767220902613,6
46_10_13,D10,0,6,2,Unresolved,1854,1153,0.2696871628910464,1
46_10_22,D10,3,8,3,Unresolved,576,412,0.5208333333333333,5
46_10_37,D10,1,5,5,Unresolved,1663,1092,0.06013229104028864,3
46_10_42,D10,3,8,3,Unresolved,627,452,0.1594896331738437,5
46_10_81,D10,7,2,9,Inhibitory_neuron,387,325,0.2583979328165375,8
46_10_84,D10,0,6,2,Unresolved,879,641,0.11376564277588168,1
46_11_04,D10,1,5,1,Unresolved,817,587,0.4895960832313341,2
46_11_06,D10,0,6,2,Unresolved,733,543,0.2728512960436562,1
46_11_40,D10,0,6,2,Unresolved,1268,857,0.15772870662460567,1
46_11_47,D10,0,6,0,Unresolved,560,460,1.0714285714285714,1
46_11_66,D10,0,6,2,Unresolved,2212,1332,0.09041591320072333,4
46_12_01,D10,0,6,1,Unresolved,1193,802,1.0896898575020955,1
46_12_06,D10,3,8,3,Unresolved,1075,749,0.09302325581395349,5
46_12_19,D10,0,6,0,Unresolved,487,380,0.41067761806981523,1
46_12_36,D10,2,7,5,Excitatory_neuron,2044,1177,0.19569471624266144,3
46_12_43,D10,4,1,4,Unresolved,567,478,0.7054673721340388,4
46_12_68,D10,4,1,4,Unresolved,1020,835,0.49019607843137253,4
46_12_69,D10,0,6,0,Unresolved,596,484,1.006711409395973,1
46_12_76,D10,7,2,9,Inhibitory_neuron,573,461,0.5235602094240838,1
46_12_83,D10,1,5,1,Unresolved,1203,816,0.24937655860349126,2
46_13_35,D10,6,4,8,Inhibitory_neuron,859,585,0.8149010477299184,6
46_13_83,D10,1,5,1,Unresolved,1144,772,0.34965034965034963,2
46_13_87,D10,0,6,0,Unresolved,773,560,0.258732212160414,1
46_13_90,D10,0,6,1,Unresolved,821,587,0.730816077953715,1
46_13_93,D10,6,4,8,Inhibitory_neuron,526,398,0,6
46_13_94,D10,2,7,10,Excitatory_neuron,1720,1071,0.05813953488372093,3
46_14_33,D10,7,2,9,Inhibitory_neuron,995,676,0.7035175879396985,8
46_14_52,D10,0,6,2,Unresolved,1221,766,0.32760032760032765,1
46_14_78,D10,0,6,0,Unresolved,851,618,0.23501762632197415,1
46_14_80,D10,0,6,0,Unresolved,714,550,0.1400560224089636,4
46_15_11,D10,3,8,3,Unresolved,1099,713,0.27297543221110104,5
46_15_18,D10,1,5,7,Unresolved,913,628,0.32858707557502737,2
46_15_33,D10,7,2,9,Inhibitory_neuron,1522,976,0.39421813403416556,8
46_15_35,D10,3,8,3,Unresolved,1573,952,0.6993006993006993,5
46_15_63,D10,2,7,5,Excitatory_neuron,679,498,0.5891016200294551,3
46_15_64,D10,0,6,2,Unresolved,1104,802,0.2717391304347826,1
46_15_67,D10,1,5,7,Unresolved,703,502,0.2844950213371266,2
46_15_84,D10,3,8,3,Unresolved,1611,955,0.12414649286157665,5
46_15_85,D10,2,7,10,Excitatory_neuron,611,433,1.800327332242226,3
46_15_96,D10,1,5,1,Unresolved,2335,1280,0.47109207708779444,6
46_16_06,D10,1,5,7,Unresolved,471,367,0,2
46_16_56,D10,2,7,5,Excitatory_neuron,1418,884,0.07052186177715092,3
