cluster,panel,genes_available,genes,mean_log_normalized_expression,mean_detection_fraction,expression_z
7,Excitatory_neuron,8,Slc17a7;Camk2a;Satb2;Tle4;Slc30a3;Neurod6;Rorb;Bcl11b,0.37300720653524655,0.16705607476635514,2.2515171630632436
1,Excitatory_neuron,8,Slc17a7;Camk2a;Satb2;Tle4;Slc30a3;Neurod6;Rorb;Bcl11b,0.14467947154944208,0.0569620253164557,-0.47813584967156164
5,Excitatory_neuron,8,Slc17a7;Camk2a;Satb2;Tle4;Slc30a3;Neurod6;Rorb;Bcl11b,0.20397120517071016,0.08419117647058824,0.23069551205339997
6,Excitatory_neuron,8,Slc17a7;Camk2a;Satb2;Tle4;Slc30a3;Neurod6;Rorb;Bcl11b,0.1308895657753218,0.04841549295774648,-0.6429938676604704
4,Excitatory_neuron,8,Slc17a7;Camk2a;Satb2;Tle4;Slc30a3;Neurod6;Rorb;Bcl11b,0.12846165308293533,0.046875,-0.6720195101030838
8,Excitatory_neuron,8,Slc17a7;Camk2a;Satb2;Tle4;Slc30a3;Neurod6;Rorb;Bcl11b,0.2123647461635871,0.08938953488372094,0.33104010864892136
3,Excitatory_neuron,8,Slc17a7;Camk2a;Satb2;Tle4;Slc30a3;Neurod6;Rorb;Bcl11b,0.16521277269706536,0.06525735294117647,-0.23266068940473922
2,Excitatory_neuron,8,Slc17a7;Camk2a;Satb2;Tle4;Slc30a3;Neurod6;Rorb;Bcl11b,0.118806816550667,0.04583333333333334,-0.7874428669257091
7,Inhibitory_neuron,6,Gad1;Gad2;Slc6a1;Slc32a1;Erbb4;Dlx1,0.13232431919231286,0.062305295950155756,-1.0567555669060076
1,Inhibitory_neuron,6,Gad1;Gad2;Slc6a1;Slc32a1;Erbb4;Dlx1,0.5021652018997363,0.16877637130801687,0.19260074525755178
5,Inhibitory_neuron,6,Gad1;Gad2;Slc6a1;Slc32a1;Erbb4;Dlx1,0.37475968934456716,0.14852941176470588,-0.23778672340192442
6,Inhibitory_neuron,6,Gad1;Gad2;Slc6a1;Slc32a1;Erbb4;Dlx1,0.3887688572076274,0.12470657276995305,-0.1904624736603967
4,Inhibitory_neuron,6,Gad1;Gad2;Slc6a1;Slc32a1;Erbb4;Dlx1,0.8745114229341863,0.2157738095238095,1.4504203193246143
8,Inhibitory_neuron,6,Gad1;Gad2;Slc6a1;Slc32a1;Erbb4;Dlx1,0.1248503550583506,0.05329457364341085,-1.0820033010107217
3,Inhibitory_neuron,6,Gad1;Gad2;Slc6a1;Slc32a1;Erbb4;Dlx1,0.2820614147353846,0.10661764705882353,-0.5509299693887982
2,Inhibitory_neuron,6,Gad1;Gad2;Slc6a1;Slc32a1;Erbb4;Dlx1,0.8817630474240865,0.2462962962962963,1.4749169697856828
7,Astrocyte,4,Aqp4;Gfap;Aldoc;Slc1a3,0.029514075406058427,0.015186915887850469,-0.35980324437523165
1,Astrocyte,4,Aqp4;Gfap;Aldoc;Slc1a3,0.19822344032176847,0.07278481012658228,2.4472991041547045
5,Astrocyte,4,Aqp4;Gfap;Aldoc;Slc1a3,0.036866057855257255,0.016911764705882352,-0.23747590819085404
6,Astrocyte,4,Aqp4;Gfap;Aldoc;Slc1a3,0.020152707001760577,0.007922535211267605,-0.515564124906597
4,Astrocyte,4,Aqp4;Gfap;Aldoc;Slc1a3,0.023136535693799976,0.008928571428571428,-0.4659171326769745
8,Astrocyte,4,Aqp4;Gfap;Aldoc;Slc1a3,0.019800007490403716,0.010174418604651164,-0.5214325817474478
3,Astrocyte,4,Aqp4;Gfap;Aldoc;Slc1a3,0.03648891810122577,0.014705882352941176,-0.24375101858436837
2,Astrocyte,4,Aqp4;Gfap;Aldoc;Slc1a3,0.04492683891338134,0.016666666666666666,-0.10335509367323208
7,Oligodendrocyte,4,Mbp;Plp1;Mobp;Mag,0.11910044362006238,0.05841121495327103,-0.31458124582969926
1,Oligodendrocyte,4,Mbp;Plp1;Mobp;Mag,0.8134115699677593,0.2911392405063291,2.464906230188705
5,Oligodendrocyte,4,Mbp;Plp1;Mobp;Mag,0.15145101612250486,0.06323529411764706,-0.185074447363769
6,Oligodendrocyte,4,Mbp;Plp1;Mobp;Mag,0.09345613150515955,0.03389084507042253,-0.4172413381854494
4,Oligodendrocyte,4,Mbp;Plp1;Mobp;Mag,0.1230888917372623,0.04241071428571429,-0.29861456868767866
8,Oligodendrocyte,4,Mbp;Plp1;Mobp;Mag,0.07608792645835342,0.03488372093023256,-0.48677026632240433
3,Oligodendrocyte,4,Mbp;Plp1;Mobp;Mag,0.10165885801705382,0.03860294117647059,-0.3844039332471958
2,Oligodendrocyte,4,Mbp;Plp1;Mobp;Mag,0.1032034862111958,0.041666666666666664,-0.37822043055250826
7,OPC,2,Pdgfra;Cspg4,0.010058708264409372,0.004672897196261682,-0.40131419294225606
1,OPC,2,Pdgfra;Cspg4,0.18670031465453735,0.06645569620253165,2.457034277635566
5,OPC,2,Pdgfra;Cspg4,0.009176794066093653,0.004411764705882353,-0.41558499896271967
6,OPC,2,Pdgfra;Cspg4,0.01596507227858142,0.006161971830985916,-0.3057396174410673
4,OPC,2,Pdgfra;Cspg4,0,0,-0.5640804515329041
8,OPC,2,Pdgfra;Cspg4,0.01726542034062607,0.00872093023255814,-0.2846978709900348
3,OPC,2,Pdgfra;Cspg4,0.025812180600928616,0.011029411764705881,-0.14639739004628585
2,OPC,2,Pdgfra;Cspg4,0.013896050440033036,0.005555555555555556,-0.3392197557202977
7,Microglia,3,Cx3cr1;P2ry12;Csf1r,0.01446149116192225,0.0077881619937694695,-0.046227139389293445
1,Microglia,3,Cx3cr1;P2ry12;Csf1r,0.07573599012795654,0.03164556962025317,2.3774775274099094
5,Microglia,3,Cx3cr1;P2ry12;Csf1r,0,0,-0.6182495012115505
6,Microglia,3,Cx3cr1;P2ry12;Csf1r,0.004757027025522607,0.0017605633802816902,-0.4300859291480697
