p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
6.794652774085415e-99,2.924334789233404,0.804,0.175,8.7583074257961e-95,7,Tafa1
6.364367705393635e-83,1.7830713119051707,0.991,0.76,8.203669972252395e-79,7,Dpp10
1.5705679372550613e-74,1.9608125971407366,0.921,0.353,2.024462071121774e-70,7,Arpp21
1.8474973165285687e-74,2.776756277879136,0.444,0.049,2.381424041005325e-70,7,Adamtsl1
8.948344502235006e-73,1.5763949966682276,0.995,0.777,1.1534416063380923e-68,7,Robo2
2.519929841041492e-68,2.389391512607317,0.584,0.107,3.248189565102483e-64,7,Sv2b
1.158805313038921e-63,3.003762192380138,0.346,0.031,1.4937000485071692e-59,7,LOC108352624
1.9510846403996918e-63,1.2464392293703117,0.986,0.803,2.5149481014752026e-59,7,Celf2
6.521366643937513e-61,2.147650479329141,0.533,0.096,8.406041604035454e-57,7,Pdzrn3
3.978299661704846e-57,3.152389650071223,0.294,0.024,5.128028263937547e-53,7,Nptxr
1.3911330869306557e-56,1.9494235085517722,0.71,0.199,1.7931705490536153e-52,7,Thrb
1.3321724203143e-55,1.9763440455082215,0.561,0.117,1.7171702497851327e-51,7,Mef2c
3.528562610579823e-51,0.999480515503417,0.995,0.971,4.548317205037392e-47,7,Lsamp
3.364845582666181e-47,1.9731560108220905,0.612,0.175,4.337285956056707e-43,7,St6galnac5
9.618062433812643e-47,0.8967284248552305,0.991,0.893,1.2397682477184497e-42,7,Csmd1
6.436412219531527e-45,1.9909045570219788,0.444,0.087,8.296535350976138e-41,7,Mical2
2.2339850473748652e-44,1.5953083158965105,0.804,0.339,2.879606726066201e-40,7,Slit3
5.535248859286982e-41,1.9319973100010124,0.5,0.126,7.1349357796209205e-37,7,Homer1
1.0251681829995266e-40,1.5421265384006988,0.696,0.244,1.3214417878863897e-36,7,Ak5
2.4426655778762176e-40,1.896266563766759,0.411,0.084,3.1485959298824445e-36,7,Slit1
2.744860690786761e-39,1.3476034400640793,0.822,0.353,3.538125430424135e-35,7,Grin2a
9.840992214746582e-39,1.5336827053108215,0.509,0.126,1.2685038964808344e-34,7,LOC102556470
3.284549921148705e-38,1.9018904817294662,0.416,0.088,4.233784848360681e-34,7,Nwd2
2.1587251921955866e-35,0.8747115029723309,0.967,0.673,2.782596772740111e-31,7,Phactr1
1.6237485987704328e-34,1.4767329162597247,0.514,0.147,2.093011943815088e-30,7,Zeb2
1.071192306024392e-33,1.348654473115778,0.682,0.254,1.3807668824654413e-29,7,Pcsk2
1.638984787391391e-33,1.1143138595520945,0.696,0.248,2.1126513909475032e-29,7,Tcf4
4.4352188618617977e-33,1.2629953121472617,0.64,0.227,5.716997112939857e-29,7,Cnksr2
5.7308806041171016e-33,0.9823681970856963,0.953,0.681,7.387105098706944e-29,7,Lrrc4c
1.279678179770059e-32,1.0389434712048788,0.907,0.466,1.649505173723606e-28,7,Dlgap2
1.5523076572153574e-32,1.6117400133915134,0.411,0.102,2.0009245701505956e-28,7,Zfpm2
5.626350991492268e-32,0.6702546478913156,0.991,0.912,7.252366428033534e-28,7,Kcnip4
5.976721881864089e-32,1.4728570005244954,0.509,0.15,7.703994505722811e-28,7,Rapgef5
6.993602958062966e-31,1.1876064370676485,0.701,0.268,9.014754212943163e-27,7,Aff3
3.910203605141228e-29,1.2188174668584584,0.621,0.23,5.040252447027043e-25,7,Cacna2d1
5.398504443227468e-29,1.0162987040568456,0.902,0.527,6.958672227320207e-25,7,Kcnq5
2.0433689237019245e-28,0.6941404733884173,0.995,0.839,2.6339025426517807e-24,7,Nkain2
2.980337195960563e-28,1.5107972963351608,0.257,0.044,3.841654645593166e-24,7,Tmem200a
5.436495421969963e-28,1.0925655008559034,0.841,0.467,7.007642598919282e-24,7,Ryr2
6.7053749715962175e-28,1.1772049152181991,0.682,0.282,8.643228338387525e-24,7,LOC120103064
8.447432745451164e-28,0.8084463913481237,0.953,0.75,1.088874080888655e-23,7,Nav3
1.012177746575761e-27,1.7871478978808113,0.28,0.055,1.304697115336156e-23,7,Man1a1
1.6391507668978302e-27,1.0966724009803226,0.701,0.299,2.1128653385313033e-23,7,Pex5l
