p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
6.794652774085415e-99,2.924334789233404,0.804,0.175,8.7583074257961e-95,7,Tafa1
6.364367705393635e-83,1.7830713119051707,0.991,0.76,8.203669972252395e-79,7,Dpp10
1.5705679372550613e-74,1.9608125971407366,0.921,0.353,2.024462071121774e-70,7,Arpp21
1.8474973165285687e-74,2.776756277879136,0.444,0.049,2.381424041005325e-70,7,Adamtsl1
8.948344502235006e-73,1.5763949966682276,0.995,0.777,1.1534416063380923e-68,7,Robo2
2.519929841041492e-68,2.389391512607317,0.584,0.107,3.248189565102483e-64,7,Sv2b
1.158805313038921e-63,3.003762192380138,0.346,0.031,1.4937000485071692e-59,7,LOC108352624
1.9510846403996918e-63,1.2464392293703117,0.986,0.803,2.5149481014752026e-59,7,Celf2
6.521366643937513e-61,2.147650479329141,0.533,0.096,8.406041604035454e-57,7,Pdzrn3
3.978299661704846e-57,3.152389650071223,0.294,0.024,5.128028263937547e-53,7,Nptxr
1.3911330869306557e-56,1.9494235085517722,0.71,0.199,1.7931705490536153e-52,7,Thrb
1.3321724203143e-55,1.9763440455082215,0.561,0.117,1.7171702497851327e-51,7,Mef2c
3.528562610579823e-51,0.999480515503417,0.995,0.971,4.548317205037392e-47,7,Lsamp
3.364845582666181e-47,1.9731560108220905,0.612,0.175,4.337285956056707e-43,7,St6galnac5
9.618062433812643e-47,0.8967284248552305,0.991,0.893,1.2397682477184497e-42,7,Csmd1
6.436412219531527e-45,1.9909045570219788,0.444,0.087,8.296535350976138e-41,7,Mical2
2.2339850473748652e-44,1.5953083158965105,0.804,0.339,2.879606726066201e-40,7,Slit3
5.535248859286982e-41,1.9319973100010124,0.5,0.126,7.1349357796209205e-37,7,Homer1
1.0251681829995266e-40,1.5421265384006988,0.696,0.244,1.3214417878863897e-36,7,Ak5
2.4426655778762176e-40,1.896266563766759,0.411,0.084,3.1485959298824445e-36,7,Slit1
4.722898006788914e-49,3.782426892817257,0.373,0.05,6.08781553075091e-45,1,St18
2.9701545198170983e-47,3.743043314081035,0.291,0.028,3.8285291760442395e-43,1,Bcas1
2.6666627169744143e-46,2.861133081648707,0.557,0.138,3.43732824218002e-42,1,Qki
6.093825883156238e-44,4.0062899639697385,0.297,0.033,7.85494156338839e-40,1,LOC120102499
2.825240150622299e-40,3.1606109098418744,0.411,0.079,3.641734554152144e-36,1,Mbp
1.9625480949404156e-39,3.3180031794095246,0.361,0.06,2.5297244943781956e-35,1,Plp1
1.7192986253868996e-33,2.8203876044560703,0.405,0.091,2.2161759281237137e-29,1,Nfia
5.022065307818546e-30,2.298276312672094,0.576,0.22,6.473442181778105e-26,1,Grm3
4.12914444859574e-28,2.445584689382767,0.532,0.196,5.322467194239909e-24,1,Ano4
2.739630512720057e-26,3.178973071829355,0.259,0.046,3.5313837308961537e-22,1,LOC102549836
2.5923611068850037e-24,2.399146159803352,0.424,0.129,3.34155346677477e-20,1,Ctnna3
5.0168977748154084e-24,1.8868185305781489,0.671,0.339,6.466781231737061e-20,1,Zbtb20
5.19952120581995e-24,2.040696140992365,0.475,0.164,6.702182834301916e-20,1,Zeb2
1.3082479313095158e-23,1.9519400877963644,0.62,0.3,1.6863315834579658e-19,1,Npas3
1.862583819621483e-22,2.2878819954187684,0.335,0.087,2.4008705434920917e-18,1,Sox6
1.0197845843793727e-21,1.5455179427287096,0.747,0.5,1.3145023292650113e-17,1,Pde4b
1.1391319417728172e-21,2.9614559204202413,0.259,0.056,1.4683410729451613e-17,1,Dock1
6.042435956175432e-20,2.4281212628374886,0.297,0.077,7.788699947510132e-16,1,Usp54
4.2623572934759205e-19,1.6016580716466047,0.658,0.379,5.494178551290461e-15,1,Frmd5
3.4692392884160236e-18,1.9111245784971955,0.373,0.126,4.4718494427682547e-14,1,Cdh20
2.2222466228045053e-35,1.3357376060846207,0.606,0.255,2.8644758967950073e-31,5,Meis2
5.300104547687058e-32,0.9887705725423963,0.882,0.667,6.831834761968618e-28,5,Phactr1
1.2302038292333083e-29,0.5102287333105942,1,0.939,1.5857327358817344e-25,5,Rbfox1
