statistic,F344_SHR_M_E007_E118
sample_well_count,3.0000
number_of_cells,1903.0000
rn7-mod1-mclover3_number_of_cells,1903.0000
rn7-mod1-mclover3_median_tscp_per_cell,770.0000
rn7-mod1-mclover3_median_tscp_at50,43213.5345
rn7-mod1-mclover3_median_genes_per_cell,560.0000
mean_reads_per_cell,3647.7596
number_of_reads,6941686.4918
number_of_tscp,3387014.0000
rn7-mod1-mclover3_number_of_tscp,3387014.0000
sequencing_saturation,0.0089
valid_barcode_fraction,0.7677
bc1_Q30,0.9510
bc2_Q30,0.9700
bc3_Q30,0.9750
cDNA_Q30,0.9494
polyN_Q30,0.9790
transcriptome_map_fraction,0.6413
tso_fraction_in_read1,0.4353
rn7-mod1-mclover3_fraction_reads_in_cells,0.5567
rn7-mod1-mclover3_fraction_tscp_in_cells,0.5557
rn7-mod1-mclover3_fraction_exonic,0.1850
cell_tscp_cutoff,341.0000
cell_tscp_f01_slope,2.4661
